Test Case,mobile,client_ref_num,test_scenario,email
To verify by entering by entering valid mobile number,9987174427,Almond,,
To verify by entering by entering no record found mobile number,9095047365,Almond,,
To verify by entering In-valid mobile number,998717442%,Almond,,
To verify by entering by entering valid mobile number starting with 9.,9987174427,Almond,,
To verify by entering valid mobile number starting with 7.,7665026583,Almond,,
To verify by entering valid mobile number starting with 6.,6376228120,Almond,,
To verify by entering valid mobile number starting with 8.,8056312197,Almond,,
To verify by entering invalid mobile number starting with 0.,0856312197,Almond,,
To verify by entering invalid mobile number starting with 1.,1856312197,Almond,,
To verify by entering mobile number with leass than 10 digits.,998717442,Almond,,
To verify by entering mobile number with more than 10 digits.,99871744277,Almond,,
To verify by entering mobile number containing alphabetic characters.,ASDFGHJLKKK,Almond,,
To verify by entering mobile number containing special characters.,!@#$%^&*(),Almond,,
To verify by entering mobile number entry as empty.,,Almond,,
To verify by entering mobile number entry with empty spaces., ,Almond,,
To verify by entering mobile number with space at the beginning., 9987174427,Almond,,
To verify by entering mobile number with space at the end.,9987174427 ,Almond,,
To verify by entering mobile number with spaces between digits.,998717 4427,Almond,,
To verify by entering mobile number from another country.,447823862665,Almond,,
To verify by entering Mobile number with +91,919987174427,Almond,,
To verify by entering Mobile number with 91,919987174427,Almond,,
To verify by entering mobile number entered as "0000000000.",0000000000,Almond,,
To verify by entering mobile number entered as "1111111111.",1111111111,Almond,,
To verify by entering valid client reference number,9987174427,Almond,,
To verify by entering entry of an invalid client reference number.,9987174427,Almond##,,
To verify by entering client reference number field left empty.,6376228120,,,
To verify by entering client reference number entry with empty space.,6376228120, ,,
To verify by entering client reference number with additional spaces at the beginning and end.,6376228120, Almond ,,
To verify by entering only "_" "-" and "." are accepted in the client reference number.,6376228120,Almond_-,,
To verify by entering client reference number with more than 45 characters.,6376228120,test1test1test1test1test1test1test1test1test1test1test1test1test1test1test1test1test1test1test1test11,,
To verify by entering client reference number with exactly 45 characters.,6376228120,test1test1test1test1test1test1test1test1test1test1test1test1test1test1test1test1test1test1test1test1,,
To verify by entering both client reference number and mobile fields left empty.,,,,
To To verify by entering the test Scenarios with limit_reached,6376228120,Almond,limit_reached,
To To verify by entering the test Scenarios with rpacpc_source_down,6376228120,Almond,rpacpc_source_down,
To To verify by entering the test Scenarios with vendor_timeout,6376228120,Almond,vendor_timeout,
To verify by entering entry of valid mobile number and valid email together,6376228120,Almond,,aishu@gmail.com
